0.235666	0.715727	sil
1.745676	2.138453	len
2.164638	2.539959	len
2.557416	3.015656	xuong
3.015656	3.434618	nhay
3.434618	3.809938	xuong
3.809938	4.268178	xuong
4.228901	4.652227	xuong
4.691505	5.106103	A
5.106103	5.433417	nhay
5.433417	5.904750	trai
6.755767	7.043803	sil
7.043803	7.475858	A
7.475858	7.833722	xuong
7.864271	8.235227	A
8.235227	8.750202	xuong
8.750202	9.064424	ban
9.064424	9.387374	len
9.387374	9.736509	ban
9.736509	10.107465	B
10.107465	10.421687	B
10.421687	10.770822	len
11.848777	12.084443	sil
12.084443	12.446671	A
12.446671	12.821992	A
12.821992	13.184219	nhay
13.184219	13.625003	trai
13.625003	13.978502	A
13.978502	14.393100	xuong
14.393100	14.707322	A
14.707322	15.030272	ban
15.030272	15.353222	ban
15.353222	15.724178	nhay
15.772184	16.068949	sil
17.059621	17.496040	phai
17.496040	17.963008	len
17.910638	18.434341	trai
18.434341	18.953679	B
18.953679	19.398827	len
19.398827	19.865795	A
19.865795	20.258572	A
20.258572	20.629528	nhay
20.629528	20.908837	ban
20.908837	21.340891	trai
22.423211	22.785438	sil
22.859630	23.317870	A
23.317870	23.802295	trai
23.802295	24.229986	phai
24.229986	24.762417	xuong
24.740596	25.190107	trai
25.190107	25.639619	len
25.609070	26.041125	xuong
25.984390	26.486272	xuong
26.460087	26.887778	trai
26.848500	27.363474	xuong
27.420209	27.747523	sil
28.729466	29.261897	trai
29.261897	29.698316	B
29.698316	30.086729	B
30.086729	30.466414	B
30.466414	30.745722	B
30.750086	31.234511	xuong
31.234511	31.535640	len
31.535640	31.928418	len
31.928418	32.277553	trai
32.277553	32.753250	xuong
32.775070	33.076200	sil
34.027593	34.485833	ban
34.485833	34.944073	trai
34.944073	35.424134	xuong
35.424134	35.873646	phai
35.899831	36.244602	ban
36.279515	36.702842	len
36.777033	37.217816	phai
37.217816	37.614958	xuong
37.614958	37.968457	nhay
37.968457	38.326321	 nhay
39.413004	39.831966	sil
39.849423	40.373126	A
40.355669	40.682984	nhay
40.682984	41.189230	nhay
41.224143	41.717297	ban
41.756574	42.271549	B
42.271549	42.673054	nhay
42.646869	43.087653	ban
43.087653	43.388782	B
43.388782	43.764102	trai
43.764102	44.178700	B
45.605790	46.077123	trai
46.077123	46.443715	len
46.469900	46.949961	nhay
46.949961	47.639503	B
47.639503	48.158842	len
48.158842	48.512341	A
48.512341	48.848384	A
48.848384	49.162606	ban
49.162606	49.437550	ban
49.537926	49.974345	xuong
50.930103	51.244325	sil
51.270510	51.737478	ban
51.737478	52.130255	trai
52.130255	52.549218	nhay
52.549218	52.976908	B
52.976908	53.422056	phai
53.422056	53.862839	trai
53.862839	54.294894	phai
54.294894	54.613480	nhay
54.613480	54.953886	len
54.953886	55.294293	B
56.472625	57.039970	len
57.039970	57.511302	trai
57.511302	57.925900	nhay
57.908443	58.327406	trai
58.327406	58.707090	phai
58.707090	59.056226	len
59.099867	59.505737	xuong
59.475188	59.771953	B
59.754496	60.156002	xuong
60.156002	60.662248	A
60.714618	61.033204	sil
